,NAME,ADDRESS,CITY,STATE,ZIP,COUNTY_CODE,COUNTY_NAME,MSA,MARKET_SEGMENT,EMPLOYEES_NON_COMMERCIAL,ENROLLMENT_RANGE,CAPACITY_BEDS_RANGE,NUMBER_OF_SCHOOLS_RANGE,OPERATION_TYPE,OWNERSHIP_TYPE,NUMBER_OF_MEALS_PER_DAY_RANGE,AVERAGE_DAILY_CENSUS
242,LUK CRISIS CTR-LUK BHVRL HLTH CLNC-AODA,545 WESTMINSTER ST,FITCHBURG,MA,1420,25027,WORCESTER,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
243,HILLCREST NURSING HOME,94 SUMMER ST,FITCHBURG,MA,1420,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,78.0
244,ACADEMY SCHOOL,98 ACADEMY ST,FITCHBURG,MA,1420,25027,WORCESTER,1122.0,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,251 TO 500,102.0
245,HABIT MANAGEMENT INSTITUTE-SBSTNC ABUSE,155 AIRPORT RD,FITCHBURG,MA,1420,25027,WORCESTER,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
246,MCLEAN AT NAUKEAG REHAB,216 LAKE RD,ASHBURNHAM,MA,1430,25027,WORCESTER,1122.0,HOSPITALS,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,102.0
247,ASHBURNHAM COUNCIL ON AGING-SENIOR CTR,32 MAIN ST,ASHBURNHAM,MA,1430,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
248,ASHBURNHAM-WESTMINSTER REG SCH DIST,11 OAKMONT DR,ASHBURNHAM,MA,1430,25027,WORCESTER,1122.0,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,3 TO 5,COMPASS,PUBLIC,>2000,102.0
249,SUMMER CAMP CUSHING ACADEMY,PO BOX 8000,ASHBURNHAM,MA,1430,25027,WORCESTER,1122.0,"CENTERS FOR CHILDREN, SUMMER CAMPS",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,>2000,102.0
250,FEDERAL MEDICAL CENTER,PO BOX 880,AYER,MA,1432,25017,MIDDLESEX,1122.0,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,>2000,102.0
251,AYER PUBLIC SCHOOLS,141 WASHINGTON ST,AYER,MA,1432,25017,MIDDLESEX,1122.0,SCHOOL DISTRICTS,UNCODED,1001 TO 2000,NOT APPLICABLE,2,UNCODED,PUBLIC,1001 TO 2000,102.0
252,NASHOBA VALLEY MEDICAL CENTER,200 GROTON RD,AYER,MA,1432,25017,MIDDLESEX,1122.0,HOSPITALS,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,1001 TO 2000,102.0
253,APPLE VALLEY CENTER,400 GROTON RD,AYER,MA,1432,25017,MIDDLESEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,101.0
254,THE CENTER SENIOR CENTER,18 POND ST,AYER,MA,1432,25017,MIDDLESEX,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
255,BALDWINVILLE NURSING HOME,PO BOX 24,BALDWINVILLE,MA,1436,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,94.0
256,NORTH CENTRAL HUMAN SERVICES-SBSTNC ABS,PO BOX 449,GARDNER,MA,1440,25027,WORCESTER,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
257,NORTH CENTRAL CORRECTIONAL INSTITUTION,PO BOX 466,GARDNER,MA,1440,25027,WORCESTER,1122.0,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,>2000,102.0
258,HEYWOOD HOSP TRANSITIONAL CARE CENTER,242 GREEN ST,GARDNER,MA,1440,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,12.0
259,MOUNT WACHUSETT COMMUNITY COLLEGE,444 GREEN ST,GARDNER,MA,1440,25027,WORCESTER,1122.0,2 YEAR COLLEGE & UNIVERSITIES,UNCODED,2001 TO 5000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,>2000,102.0
260,GARDNER VNA ADULT DAY HEALTH CARE,34 PEARLY LN,GARDNER,MA,1440,25027,WORCESTER,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,UNCODED,251 TO 500,102.0
261,WACHUSETT MANOR NURSING HOME,32 HOSPITAL HILL RD,GARDNER,MA,1440,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,92.0
262,GARDNER PUBLIC SCHOOL DISTRICT,70 WATERFORD ST,GARDNER,MA,1440,25027,WORCESTER,1122.0,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,102.0
263,GARDNER SENIOR CENTER,294 PLEASANT ST,GARDNER,MA,1440,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
264,PATHWAY HOUSE GAAMHA-SUBSTANCE ABUSE SVC,171 GRAHAM ST,GARDNER,MA,1440,25027,WORCESTER,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
265,LACHANCE CENTER FOR REHAB AND NURSING,59 EASTWOOD CIR,GARDNER,MA,1440,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,109.0
266,GROTON-DUNSTABLE REGIONAL SCHOOL DIST,PO BOX 729,GROTON,MA,1450,25017,MIDDLESEX,1122.0,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,102.0
267,SEVEN HILLS AT GROTON,22 HILLSIDE AVE,GROTON,MA,1450,25017,MIDDLESEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,75.0
268,HARVARD PUBLIC SCHOOL DISTRICT,39 MASS AVE,HARVARD,MA,1451,25027,WORCESTER,1122.0,SCHOOL DISTRICTS,1-250,1001 TO 2000,NOT APPLICABLE,2,UNCODED,PUBLIC,1001 TO 2000,102.0
269,KEYSTONE CTR-GENESIS HEALTHCARE,44 KEYSTONE DR,LEOMINSTER,MA,1453,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,81.0
270,LIFE CARE CENTER OF LEOMINSTER,370 WEST ST,LEOMINSTER,MA,1453,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,120.0
271,HEALTH ALLIANCE HOSPITAL,60 HOSPITAL RD,LEOMINSTER,MA,1453,25027,WORCESTER,1122.0,HOSPITALS,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,ARAMARK,UNCODED,>2000,102.0
272,COMM HEALTHLINK LIPTON RES TREATMENT CTR,45 SUMMER ST,LEOMINSTER,MA,1453,25027,WORCESTER,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
273,LEOMINSTER SENIOR CENTER,5 POND ST,LEOMINSTER,MA,1453,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
274,LITTLETON MIDDLE SCHOOL,55 RUSSELL ST,LITTLETON,MA,1460,25017,MIDDLESEX,1122.0,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,251 TO 500,102.0
275,LITTLETON GROUP HOME,22 KING ST,LITTLETON,MA,1460,25017,MIDDLESEX,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
276,LIFE CARE CENTER OF NASHOBA VALLEY,191 FOSTER ST,LITTLETON,MA,1460,25017,MIDDLESEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,115.0
277,NASHOBA CAMP,140 NASHOBA RD,LITTLETON,MA,1460,25017,MIDDLESEX,1122.0,"CENTERS FOR CHILDREN, SUMMER CAMPS",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,>2000,102.0
278,EAGLE HOUSE SENIOR CENTER,25 MEMORIAL DR,LUNENBURG,MA,1462,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
279,LUNENBURG PUBLIC SCHOOL DISTRICT,1033 MASSACHUSETTS AVE,LUNENBURG,MA,1462,25027,WORCESTER,1122.0,SCHOOL DISTRICTS,1-250,1001 TO 2000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,1001 TO 2000,102.0
280,NISSITISSIT MIDDLE SCHOOL,33 CHASE AVE,PEPPERELL,MA,1463,25017,MIDDLESEX,1122.0,PRIMARY SCHOOL,UNCODED,501 TO 1000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,501 TO 1000,102.0
281,PEPPERELL COUNCIL ON AGING SENIOR CENTER,37 NASHUA RD,PEPPERELL,MA,1463,25017,MIDDLESEX,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
282,MASSACHUSETTS CORRECTIONAL INST-SHIRLEY,PO BOX 1218,SHIRLEY,MA,1464,25017,MIDDLESEX,1122.0,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,>2000,102.0
283,SOUZA-BARANOWSKI CORRECTIONAL CENTER,PO BOX 8000,SHIRLEY,MA,1464,25017,MIDDLESEX,1122.0,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,>2000,102.0
284,TOWNSEND COUNCIL ON AGING -SENIOR CENTER,222 MAIN ST,TOWNSEND,MA,1469,25017,MIDDLESEX,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
285,WINCHENDON PUBLIC SCHOOL DISTRICT,175 GROVE ST,WINCHENDON,MA,1475,25027,WORCESTER,1122.0,SCHOOL DISTRICTS,1-250,1001 TO 2000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,1001 TO 2000,102.0
286,THE WINCHENDON SCHOOL RSDNTL TREATMENT,172 ASH ST,WINCHENDON,MA,1475,25027,WORCESTER,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,PRIVATE,51 TO 100,102.0
287,AUBURN PUBLIC SCHOOL DISTRICT,5 WEST ST,AUBURN,MA,1501,25027,WORCESTER,1122.0,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,102.0
288,LIFE CARE CENTER OF AUBURN,14 MASONIC CIR,AUBURN,MA,1501,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,145.0
289,AUBURN YOUTH AND FAMILY ERSVICES-AODA,21 PHEASANT CT,AUBURN,MA,1501,25027,WORCESTER,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
290,LORRAINE GLEICK NORDGREN SENIOR CENTER,4 GODDARD DR,AUBURN,MA,1501,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
291,THE GODDARD SCHOOL,494 WASHINGTON ST,AUBURN,MA,1501,25027,WORCESTER,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,102.0
292,AUBURN FAMILY INSTITUTE,6 SOUTH TER,AUBURN,MA,1501,25027,WORCESTER,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
293,BLACKSTONE NURSING HOME,8 BUTLER ST,BLACKSTONE,MA,1504,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,30.0
294,BLACKSTONE SENIOR CENTER,15 SAINT PAUL ST,BLACKSTONE,MA,1504,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
295,THE OVERLOOK MASONIC HEALTH CENTER,PO BOX 1000,CHARLTON,MA,1507,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,138.0
296,BAY PATH REG VOCATIONAL TECH HIGH SCHOOL,57 OLD MUGGETT HILL RD,CHARLTON,MA,1507,25027,WORCESTER,1122.0,SECONDARY SCHOOL,UNCODED,1001 TO 2000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,102.0
297,CLINTON HOSPITAL UMASS MEMORIAL,201 HIGHLAND ST,CLINTON,MA,1510,25027,WORCESTER,1122.0,HOSPITALS,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,COMPASS,UNCODED,501 TO 1000,102.0
298,CLINTON SENIOR CITIZENS CENTER,200 HIGH ST,CLINTON,MA,1510,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
299,CLINTON PUBLIC SCHOOLS,150 SCHOOL ST,CLINTON,MA,1510,25027,WORCESTER,1122.0,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,102.0
300,HASSANAMESIT VLG EARLY LEARNING CENTER,PO BOX 566,GRAFTON,MA,1519,25027,WORCESTER,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,102.0
301,GRAFTON SENIOR CENTER,30 PROVIDENCE RD,GRAFTON,MA,1519,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
302,GRAFTON PUBLIC SCHOOL DISTRICT,30 PROVIDENCE RD,GRAFTON,MA,1519,25027,WORCESTER,1122.0,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,102.0
303,HOLDEN SENIOR CENTER,1130 MAIN ST,HOLDEN,MA,1520,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
304,HOLDEN REHAB AND NURSING CENTER,32 MAYO DR,HOLDEN,MA,1520,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,90.0
305,WACHUSETT EXTENDED CARE FACILITY,56 BOYDEN RD,HOLDEN,MA,1520,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,40.0
306,WACHUSETT REGIONAL SCHOOL DISTRICT,1745 MAIN ST,JEFFERSON,MA,1522,25027,WORCESTER,1122.0,SCHOOL DISTRICTS,751-999,OVER 5000,NOT APPLICABLE,10 AND PLUS,UNCODED,PUBLIC,>2000,102.0
307,DR F PERKINS SCHOOL RESIDENTIAL TRTMNT,971 MAIN ST,LANCASTER,MA,1523,25027,WORCESTER,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,PRIVATE,51 TO 100,102.0
308,LEICESTER SENIOR CENTER,40 WINSLOW AVE,LEICESTER,MA,1524,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
309,LEICESTER PUBLIC SCHOOLS,1078 MAIN ST,LEICESTER,MA,1524,25027,WORCESTER,1122.0,SCHOOL DISTRICTS,1-250,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,102.0
310,BECKER COLLEGE-LEICESTER,964 MAIN ST,LEICESTER,MA,1524,25027,WORCESTER,1122.0,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,SODEXO,PRIVATE,251 TO 500,102.0
311,MILLBURY SENIOR CENTER,1 RIVER ST,MILLBURY,MA,1527,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
312,RADIUS HEALTHCARE CENTER,29 MAIN ST,MILLBURY,MA,1527,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,250.0
313,MILLBURY PUBLIC SCHOOLS,12 MARTIN ST,MILLBURY,MA,1527,25027,WORCESTER,1122.0,SCHOOL DISTRICTS,1-250,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,102.0
314,MILLBURY HEALTH CARE CENTER,312 MILLBURY AVE,MILLBURY,MA,1527,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,137.0
315,MILLVILLE SENIOR CENTER,PO BOX 703,MILLVILLE,MA,1529,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
316,SUPERVISORY UNION 3,44 BEARFOOT RD,NORTHBOROUGH,MA,1532,25027,WORCESTER,1122.0,SCHOOL DISTRICTS,UNCODED,2001 TO 5000,NOT APPLICABLE,10 AND PLUS,UNCODED,PUBLIC,>2000,102.0
317,BEAUMONT AT NORTHBOROUGH,238 W MAIN ST,NORTHBOROUGH,MA,1532,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,>2000,93.0
318,COLEMAN HOUSE,112 W MAIN ST,NORTHBOROUGH,MA,1532,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,501 TO 1000,44.0
319,NORTHBORO TOWN-FAMILY-YOUTH SVCS-AODA,63 MAIN ST,NORTHBOROUGH,MA,1532,25027,WORCESTER,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
320,NORTHBOROUGH SENIOR CENTER,1 CENTRE DR,NORTHBOROUGH,MA,1532,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
321,BEAUMONT REHAB SKILLED NURSING HOME,PO BOX 940,NORTHBRIDGE,MA,1534,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,152.0
322,VALLEY VIEW SCHOOL,PO BOX 338,NORTH BROOKFIELD,MA,1535,25027,WORCESTER,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
323,NORTH BROOKFIELD SENIOR CENTER,29 FOREST ST,NORTH BROOKFIELD,MA,1535,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
324,GRAFTON JOB CORPS RESIDENTIAL PROGRAM,100 PINE ST,NORTH GRAFTON,MA,1536,25027,WORCESTER,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
325,CLARA BARTON CAMP,PO BOX 356,NORTH OXFORD,MA,1537,25027,WORCESTER,1122.0,"CENTERS FOR CHILDREN, SUMMER CAMPS",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,>2000,102.0
326,OXFORD SENIOR CENTER,323 MAIN ST,OXFORD,MA,1540,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
327,OXFORD PUBLIC SCHOOLS,5 SIGOURNEY ST,OXFORD,MA,1540,25027,WORCESTER,1122.0,SCHOOL DISTRICTS,1-250,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,102.0
328,COOLIDGE ELEMENTARY SCHOOL,15 MAY ST,SHREWSBURY,MA,1545,25027,WORCESTER,1122.0,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,251 TO 500,102.0
329,MULBERRY CHILD CARE AND PRESCHOOL,177 MAIN ST,SHREWSBURY,MA,1545,25027,WORCESTER,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,501 TO 1000,102.0
330,SHREWSBURY CHILDRENS CENTER INC,138 N QUINSIGAMOND AVE,SHREWSBURY,MA,1545,25027,WORCESTER,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,102.0
331,SHERWOOD MIDDLE SCHOOL,30 SHERWOOD AVE,SHREWSBURY,MA,1545,25027,WORCESTER,1122.0,PRIMARY SCHOOL,UNCODED,501 TO 1000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,501 TO 1000,102.0
332,SHREWSBURY NURSING AND REHAB CENTER,40 JULIO DR,SHREWSBURY,MA,1545,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,90.0
333,FLORAL STREET SCHOOL,57 FLORAL ST,SHREWSBURY,MA,1545,25027,WORCESTER,1122.0,PRIMARY SCHOOL,UNCODED,501 TO 1000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,501 TO 1000,102.0
334,SHREWSBURY PUBLIC SCHOOLS,100 MAPLE AVE,SHREWSBURY,MA,1545,25027,WORCESTER,1122.0,SCHOOL DISTRICTS,251-500,OVER 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,102.0
335,G B WELLS HUMAN SERVICE CENTER-AODA SVCS,29 PINE ST,SOUTHBRIDGE,MA,1550,25027,WORCESTER,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
336,MARY E WELLS MIDDLE SCHOOL,82 MARCY ST,SOUTHBRIDGE,MA,1550,25027,WORCESTER,1122.0,PRIMARY SCHOOL,UNCODED,501 TO 1000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,501 TO 1000,102.0
337,YOU INC FAMILY SERVICES-SBSTNC ABUSE SVC,52 CHARLTON ST,SOUTHBRIDGE,MA,1550,25027,WORCESTER,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
338,RADIUS HEALTH CARE,84 CHAPIN ST,SOUTHBRIDGE,MA,1550,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,141.0
