,NAME,CITY,STATE,ZIP,COUNTY_CODE,COUNTY_NAME,MSA,MARKET_SEGMENT,SIMPLIFIED_MENU,MENU_TYPE,UNITS,EMPLOYEES,YEARS_IN_BUSINESS,ANNUAL_SALES,AVERAGE_CHECK,NUMBER_OF_ROOMS,FOOD_BEVERAGE_PURCHASE,FOOD_PURCHASE,BEVERAGE_PURCHASE,TOTAL_CATEGORY_DRY,TOTAL_CATEGORY_FRESH,TOTAL_CATEGORY_FROZEN,TOTAL_CATEGORY_PROTEIN,% Share of F&B Purchases from Company
283,JIMMY JOHN'S GOURMET SANDWICH SHOP,WYOMING,MI,49519,26081.0,KENT,"<bound method NDFrame.ffill of 0      6162.0
1      7362.0
2      7362.0
3      6640.0
4      7362.0
        ...  
995    1922.0
996    4472.0
997    5602.0
998    2710.0
999    2162.0
Name: MSA, Length: 1000, dtype: object>",LSR - QUICK CASUAL,"SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",SANDWICHES,501+ UNITS,5 TO 9,5 YEARS PLUS,"$500,001 - $1,000,000",$5 TO $7,NOT APPLICABLE,188442.5958,167985.485809125,20457.1099908748,22354.5810624921,26446.0030606671,36328.6648920076,66964.916569163,0.8521332726401938
284,PIZZA MAN,MAPLE GROVE,MN,55369,27053.0,HENNEPIN,5120.0,LSR - QUICK CASUAL,"PIZZA, PASTA & ITALIAN",PIZZERIA,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$7 TO $10,NOT APPLICABLE,202131.010423078,185971.302727695,16159.7076953826,32704.1703358934,26932.846158971,35147.3642374572,59637.0164948644,0.3989256464945855
285,VEGAS LOUNGE,MINNEAPOLIS,MN,55413,27053.0,HENNEPIN,5120.0,NIGHTLIFE VENUES,SELECTION FOR LODGING AND BARS,NOT APPLICABLE,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"$500,001 - $1,000,000",NOT APPLICABLE,NOT APPLICABLE,156962.4156,132447.230161966,16133.3140131824,22586.8174473339,21895.5033769133,26986.6801138615,38453.247931896,0.4895782423013596
286,AZTECA MEXICAN GRILL,OSWEGO,NY,13126,36075.0,OSWEGO,8160.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",MEXICAN,MEXICAN,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"<=$500,000",$10 TO $15,NOT APPLICABLE,134676.200017556,126457.036449341,8219.16356821492,20198.3225683921,26086.9104556387,18753.3656461917,49983.0797711671,0.8978118779492792
287,MCDONALD'S,OCEAN SPRINGS,MS,39564,28059.0,JACKSON,920.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",HAMBURGERS,HAMBURGERS,501+ UNITS,20 TO 49,5 YEARS PLUS,"$1,000,001 - $2,500,000",$5 TO $7,NOT APPLICABLE,755024.7006,632314.316526478,122710.384073522,118397.189554242,64697.9177892031,140897.68762982,205739.378569666,0.17439528736421428
288,GOLDEN CORRAL,MCCOMB,MS,39648,28113.0,PIKE,"<bound method NDFrame.ffill of 0      6162.0
1      7362.0
2      7362.0
3      6640.0
4      7362.0
        ...  
995    1922.0
996    4472.0
997    5602.0
998    2710.0
999    2162.0
Name: MSA, Length: 1000, dtype: object>",LSR - BUFFET RESTAURANTS,CLASSIC & VARIED MENU,VARIED MENU,251-500 UNITS,UNKNOWN,5 YEARS PLUS,"$1,000,001 - $2,500,000",$7 TO $10,NOT APPLICABLE,457397.325140857,408852.689082206,48544.636058651,72540.6089111721,66691.3026688109,84976.141867373,140936.040170277,0.08758896302034269
289,CHINA WOK,ASHEVILLE,NC,28804,37021.0,BUNCOMBE,480.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",CHINESE,CHINESE,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,96739.1182101555,90835.2195561208,5903.89865403464,14508.6356337335,18738.4609454143,13470.7101614741,35903.2929490159,0.021533141788491528
290,APPLEBEE'S,FARGO,ND,58102,38017.0,CASS,2520.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",CLASSIC & VARIED MENU,VARIED MENU,501+ UNITS,OVER 50,5 YEARS PLUS,"$2,500,001 - $5,000,000",$10 TO $15,NOT APPLICABLE,797989.401826062,728137.90056631,69851.5012597515,97920.1018968506,128640.13386449,166217.315824906,284068.867034094,0.6166536756681517
291,SUBWAY,RENO,NV,89523,32031.0,WASHOE,6720.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",SANDWICHES,501+ UNITS,5 TO 9,5 YEARS PLUS,"<=$500,000",$5 TO $7,NOT APPLICABLE,140672.5785,120401.497165394,20271.0813346058,22586.8174473339,21177.2389439342,30842.9201101038,29651.4906608016,0.12095467842195684
292,PAPA MURPHY'S PIZZA,MARION,OH,43302,39101.0,MARION,"<bound method NDFrame.ffill of 0      6162.0
1      7362.0
2      7362.0
3      6640.0
4      7362.0
        ...  
995    1922.0
996    4472.0
997    5602.0
998    2710.0
999    2162.0
Name: MSA, Length: 1000, dtype: object>","LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","PIZZA, PASTA & ITALIAN",PIZZERIA,501+ UNITS,5 TO 9,5 YEARS PLUS,"<=$500,000",$7 TO $10,NOT APPLICABLE,163666.5183,133970.648111001,29695.8701889987,28652.0786182079,15656.8735618622,34097.1913125,30739.6617597895,0.3645442097558561
293,SUBWAY,SAINT CLAIRSVILLE,OH,43950,39013.0,BELMONT,9000.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",SANDWICHES,501+ UNITS,5 TO 9,5 YEARS PLUS,"<=$500,000",$5 TO $7,NOT APPLICABLE,140672.5785,120401.497165394,20271.0813346058,22586.8174473339,21177.2389439342,30842.9201101038,29651.4906608016,0.42937093473997867
294,PIER BEVERAGE & DELI,ROCKY RIVER,OH,44116,39035.0,CUYAHOGA,1692.0,LSR - DELIVERY AND TAKE AWAY ONLY,"SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",DELI,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000",$7 TO $10,NOT APPLICABLE,47451.4443,41712.1551808372,5739.28911916281,6522.8268510833,6677.53812299117,8713.73808874632,15181.6673917333,0.8237108031472348
295,PANDA EXPRESS,BEAVERTON,OR,97008,41067.0,WASHINGTON,6442.0,LSR - QUICK CASUAL,OTHER ASIAN,ASIAN UNCLASSIFIED,501+ UNITS,10 TO 19,5 YEARS PLUS,"$1,000,001 - $2,500,000",$5 TO $7,NOT APPLICABLE,381045.7134,342603.501468432,38442.2119315683,61588.8982692004,58415.8903002455,64883.9450061919,125903.329024554,0.608890052572533
296,STARBUCKS,BEAVERTON,OR,97008,41067.0,WASHINGTON,6442.0,"LSR - COFFEE SHOPS, TEA HOUSES",BEVERAGES,COFFEE / TEA,501+ UNITS,10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",UNDER $5,NOT APPLICABLE,182285.6448,127417.6657152,54867.9790848,49217.124096,23514.8481792,21874.277376,0.0,0.9082032510965907
297,ESAN THAI RESTAURANT,PORTLAND,OR,97210,41051.0,MULTNOMAH,6442.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",OTHER ASIAN,THAI,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,74827.7194427475,70261.0531315784,4566.66631116906,11222.4313885062,14494.2017702322,10419.5959122515,27771.201366788,0.4537643945725234
298,JIMMY JOHN'S GOURMET SANDWICH SHOP,HENDERSONVILLE,TN,37075,47165.0,SUMNER,5360.0,LSR - QUICK CASUAL,"SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",SANDWICHES,501+ UNITS,10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$5 TO $7,NOT APPLICABLE,212202.2142,189165.787548332,23036.4266516677,25173.1386889239,29780.4240192574,40909.1325466331,75408.1289814978,0.031832476142805266
299,THEBROWNSTONE COFFEE HOUSE,BOLIVAR,TN,38008,47069.0,HARDEMAN,"<bound method NDFrame.ffill of 0      6162.0
1      7362.0
2      7362.0
3      6640.0
4      7362.0
        ...  
995    1922.0
996    4472.0
997    5602.0
998    2710.0
999    2162.0
Name: MSA, Length: 1000, dtype: object>","LSR - COFFEE SHOPS, TEA HOUSES",BEVERAGES,COFFEE / TEA,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",UNDER $5,NOT APPLICABLE,148947.8718,104114.5623882,44833.3094118,40215.925386,19214.2754622,17873.744616,0.0,0.03629922263320029
300,MURPHY'S DELI,HOUSTON,TX,77010,48201.0,HARRIS,3362.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",SANDWICHES,51-100 UNITS,5 TO 9,5 YEARS PLUS,"<=$500,000",$7 TO $10,NOT APPLICABLE,150267.6117,128613.874978826,21653.7367211738,24127.4251876655,22621.7017732793,32946.6623290707,31673.9675383395,0.8168583096319253
301,PIZZA HUT,CROSBY,TX,77532,48201.0,HARRIS,3362.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","PIZZA, PASTA & ITALIAN",PIZZERIA,501+ UNITS,10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$7 TO $10,NOT APPLICABLE,212382.5994,173847.618832844,38534.9805671556,37180.4997036352,20317.2129528061,44246.374875,39889.461430676,0.3387221335851932
302,VERITAS WINE & BISTRO LLC,COLLEGE STATION,TX,77840,48041.0,BRAZOS,1260.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",OTHER ASIAN,ASIAN UNCLASSIFIED,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$15 TO $20,NOT APPLICABLE,183819.014027396,172600.710102559,11218.3039248376,27568.6107793741,35605.9211527455,25596.3947774651,68221.7083671128,0.3954282946041717
303,THE ITALIAN CHEF,UTICA,NY,13501,36065.0,ONEIDA,8680.0,FSR - UPSCALE CASUAL DINING RESTAURANTS,"PIZZA, PASTA & ITALIAN",ITALIAN - PIZZA & PASTA,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000",$30 TO $50,NOT APPLICABLE,41596.7171821712,38325.2333706973,3271.48381147396,5455.79769779347,8448.00850097087,8073.9821505737,12856.5324176522,0.3168932550845587
304,TAM DELI & CAFE,AUSTIN,TX,78753,48453.0,TRAVIS,640.0,LSR - DELIVERY AND TAKE AWAY ONLY,OTHER ASIAN,VIETNAMESE,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$7 TO $10,NOT APPLICABLE,66558.8178,58266.0073482124,8292.81045178765,9424.95935694475,7643.80789469122,12590.6496076706,21936.2864298592,0.41348554359520984
305,ROCKY ROCOCO,WISCONSIN RAPIDS,WI,54494,55141.0,WOOD,"<bound method NDFrame.ffill of 0      6162.0
1      7362.0
2      7362.0
3      6640.0
4      7362.0
        ...  
995    1922.0
996    4472.0
997    5602.0
998    2710.0
999    2162.0
Name: MSA, Length: 1000, dtype: object>","LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","PIZZA, PASTA & ITALIAN",PIZZERIA,10-50 UNITS,10 TO 19,5 YEARS PLUS,"<=$500,000",$5 TO $7,NOT APPLICABLE,132733.728,108650.344316327,24083.3836836735,23236.8675612245,12697.7418367347,27652.86,24929.8998061224,0.6351798204523933
306,SUBWAY,PARAGOULD,AR,72450,5055.0,GREENE,"<bound method NDFrame.ffill of 0      6162.0
1      7362.0
2      7362.0
3      6640.0
4      7362.0
        ...  
995    1922.0
996    4472.0
997    5602.0
998    2710.0
999    2162.0
Name: MSA, Length: 1000, dtype: object>","LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",SANDWICHES,501+ UNITS,1 TO 4,5 YEARS PLUS,"<=$500,000",$5 TO $7,NOT APPLICABLE,126446.4108,108225.336692115,18221.074107885,20302.6206533222,19035.592321317,27723.7865979244,26652.8459839676,0.17524820980881617
307,BURGER KING,MILWAUKEE,WI,53226,55079.0,MILWAUKEE,5082.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",HAMBURGERS,HAMBURGERS,501+ UNITS,10 TO 19,5 YEARS PLUS,"$1,000,001 - $2,500,000",$5 TO $7,NOT APPLICABLE,367477.9488,307753.597795373,59724.3510046272,57625.0768041131,31489.1130077121,68576.2905501285,100135.379364524,0.5712113998910967
308,UNCLE REDS PIZZERIA,BELLFLOWER,CA,90706,6037.0,LOS ANGELES,4472.0,LSR - QUICK CASUAL,"PIZZA, PASTA & ITALIAN",PIZZERIA,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$7 TO $10,NOT APPLICABLE,184035.437543129,169322.411223892,14713.0263192375,29776.3627889331,24521.7105320626,32000.8322443416,54298.0733209957,0.8184681851417873
309,CRISPY CRUST,SHERMAN OAKS,CA,91403,6037.0,LOS ANGELES,4472.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING","PIZZA, PASTA & ITALIAN",ITALIAN - PIZZA & PASTA,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$15 TO $20,NOT APPLICABLE,223842.998840586,207377.315983509,16465.6828570774,30389.0452730188,37160.6464480073,30888.0053595969,86034.9749285387,0.29612961974986585
310,ROLLING RICE,ROSEMEAD,CA,91770,6037.0,LOS ANGELES,4472.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",OTHER ASIAN,JAPANESE,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$15 TO $20,NOT APPLICABLE,189801.617472072,178218.200808168,11583.4166639047,28465.8632572328,36764.7572376107,26429.4591934462,70442.0631527062,0.3595001739685174
311,HAAGEN-DAZS,CARLSBAD,CA,92008,6073.0,SAN DIEGO,7320.0,"LSR - ICE CREAM PARLORS, FROZEN DESSERTS",FROZEN DESSERT,ICE CREAM / DAIRY,101-250 UNITS,5 TO 9,5 YEARS PLUS,"<=$500,000",UNDER $5,NOT APPLICABLE,102634.0518,84057.2884242,18576.7633758,14368.767252,13239.7926822,37974.599166,0.0,0.7957309824382188
312,REDBRICK PIZZA,FONTANA,CA,92336,6071.0,SAN BERNARDINO,4472.0,LSR - QUICK CASUAL,"PIZZA, PASTA & ITALIAN",PIZZERIA,10-50 UNITS,10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$7 TO $10,NOT APPLICABLE,267712.982344925,246310.212270713,21402.7700742112,43315.129912094,35671.2834570186,46551.0249114093,78986.4133691126,0.027162510887760782
313,MIYAKO,IRVINE,CA,92606,6059.0,ORANGE,4472.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",OTHER ASIAN,JAPANESE,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,121879.065749498,114440.899415686,7438.16633381224,18279.0477012399,23608.0931464475,16971.3927503051,45233.6126576068,0.6789835613028146
314,KELLY'S DELI,CORONA,CA,92881,6065.0,RIVERSIDE,4472.0,LSR - DELIVERY AND TAKE AWAY ONLY,"SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",DELI,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$7 TO $10,NOT APPLICABLE,80277.2046,70567.6142245267,9709.59037547328,11035.160539777,11296.8973238115,14741.6911265881,25683.9773236432,0.7369148510890778
315,SUBWAY,BAKERSFIELD,CA,93304,6029.0,KERN,680.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",SANDWICHES,501+ UNITS,10 TO 19,5 YEARS PLUS,"<=$500,000",$5 TO $7,NOT APPLICABLE,160060.5765,136995.662219671,23064.9142803292,25699.8134282476,24095.961772993,35093.8016947394,33738.1651766074,0.7442238798647905
316,KELLEY'S CAFE,TEHACHAPI,CA,93561,6029.0,KERN,680.0,"FSR - CAF╔-RESTAURANTS, FAMILY-STYLE, DINER",CLASSIC & VARIED MENU,VARIED MENU,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,115499.159437592,104693.070679638,10806.0887579538,14258.7068028158,18680.4807900951,26506.4150251154,35882.9987680036,0.5737635876453906
317,CHINA EXPRESS,OAKLAND,CA,94601,6001.0,ALAMEDA,7362.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",CHINESE,CHINESE,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,28909.1922817949,27144.8910915469,1764.30119024798,4335.71180968313,5599.73856035229,4025.54165714426,10729.2191475005,0.1134622307272255
318,HARMONY RESTAURANT,MILL VALLEY,CA,94941,6041.0,MARIN,7362.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",OTHER ETHNIC FOOD,OTHER ETHNIC FOOD UNCLASSIFIED,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$15 TO $20,NOT APPLICABLE,189801.617472072,178218.200808168,11583.4166639047,28465.8632572328,36764.7572376107,26429.4591934462,70442.0631527062,0.9719809837652043
319,AQUS CAFE,PETALUMA,CA,94952,6097.0,SONOMA,7362.0,"FSR - CAF╔-RESTAURANTS, FAMILY-STYLE, DINER",CLASSIC & VARIED MENU,VARIED MENU,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$15 TO $20,NOT APPLICABLE,163860.567966139,148529.791101675,15330.7768644636,20229.0631944771,26502.3070908103,37605.0894388411,50907.8038929832,0.18923555103052137
320,STARBUCKS,DENVER,CO,80212,8031.0,DENVER,2082.0,"LSR - COFFEE SHOPS, TEA HOUSES",BEVERAGES,COFFEE / TEA,501+ UNITS,20 TO 49,5 YEARS PLUS,"$500,001 - $1,000,000",UNDER $5,NOT APPLICABLE,210494.4534,147135.6229266,63358.8304734,56833.502418,27153.7844886,25259.334408,0.0,0.7741082876066603
321,TACOS DON JOSES,LONGMONT,CO,80501,8013.0,BOULDER,2082.0,LSR - QUICK CASUAL,MEXICAN,MEXICAN,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"<=$500,000",$10 TO $15,NOT APPLICABLE,110805.7626,99627.0025213195,11178.7600786805,17909.674877378,16986.9835692965,18867.8543126935,36611.9179296466,0.8876368908750549
322,NEVA'S CAFE & COFFEE HOUSE,REHOBOTH BEACH,DE,19971,10005.0,SUSSEX,"<bound method NDFrame.ffill of 0      6162.0
1      7362.0
2      7362.0
3      6640.0
4      7362.0
        ...  
995    1922.0
996    4472.0
997    5602.0
998    2710.0
999    2162.0
Name: MSA, Length: 1000, dtype: object>","LSR - COFFEE SHOPS, TEA HOUSES",BEVERAGES,COFFEE / TEA,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$7 TO $10,NOT APPLICABLE,61117.6398,42721.2302202,18396.4095798,16501.762746,7884.1755342,7334.116776,0.0,0.6151010175981494
323,LA CRUZADA TAQUERIA INC,HOMESTEAD,FL,33030,12086.0,MIAMI-DADE,4992.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",MEXICAN,MEXICAN,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"<=$500,000",$7 TO $10,NOT APPLICABLE,136565.1657,111786.600877519,24778.5648224809,23907.6135106186,13064.2696779337,28451.0761875,25649.5161343431,0.2199234888732844
324,SPORT LOUNGE,MIAMI BEACH,FL,33141,12086.0,MIAMI-DADE,4992.0,NIGHTLIFE VENUES,SELECTION FOR LODGING AND BARS,NOT APPLICABLE,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000",NOT APPLICABLE,NOT APPLICABLE,156962.4156,132447.230161966,16133.3140131824,22586.8174473339,21895.5033769133,26986.6801138615,38453.247931896,0.4895782423013596
325,QUIZNOS,SUNRISE,FL,33323,12011.0,BROWARD,4992.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",SANDWICHES,501+ UNITS,5 TO 9,5 YEARS PLUS,"<=$500,000",$5 TO $7,NOT APPLICABLE,128657.8647,110118.117526244,18539.7471737564,20657.6984237385,19368.5107063581,28208.6550541095,27118.9844834665,0.5304258195049693
326,HAMPTON INN,TAMPA,FL,33605,12057.0,HILLSBOROUGH,8280.0,2* HOTELS WITHOUT RESTAURANT-MIDSCALE,SELECTION FOR LODGING AND BARS,NOT APPLICABLE,501+ UNITS,20 TO 49,5 YEARS PLUS,"$1,000,001 - $2,500,000",NOT APPLICABLE,251 - 500,156962.4156,132447.230161966,16133.3140131824,22586.8174473339,21895.5033769133,26986.6801138615,38453.247931896,0.4895782423013596
327,QUICK FOOD MART AND DELI,LAKELAND,FL,33811,12105.0,POLK,3980.0,LSR - DELIVERY AND TAKE AWAY ONLY,"SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",DELI,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$7 TO $10,NOT APPLICABLE,86270.6133,75836.1154776399,10434.4978223601,11859.0336120215,12140.3113794068,15842.2897372528,27601.5151092343,0.4212765292897358
328,DOMERS BAR & GRILL,WILLIAMSPORT,PA,17701,42081.0,LYCOMING,9140.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING","BAR & GRILL, BREW PUB, & EATERTAINMENT",BAR & GRILL,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,114038.540299739,106037.073606266,8001.46669347258,14775.1951112272,18528.9696093995,23143.5720939948,40176.6766778068,0.8323527593328788
329,PAPA JOHN'S,TARPON SPRINGS,FL,34689,12103.0,PINELLAS,8280.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","PIZZA, PASTA & ITALIAN",PIZZERIA,501+ UNITS,20 TO 49,5 YEARS PLUS,"$500,001 - $1,000,000",$7 TO $10,NOT APPLICABLE,288287.3754,235980.131585395,52307.2438146046,50468.6763694515,27578.5116772959,60059.869875,54145.8112597577,0.9706970812476439
330,PAPA JOHN'S,DECATUR,GA,30030,13089.0,DEKALB,520.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","PIZZA, PASTA & ITALIAN",PIZZERIA,501+ UNITS,20 TO 49,5 YEARS PLUS,"$500,001 - $1,000,000",$7 TO $10,NOT APPLICABLE,291844.4985,238891.845551499,52952.6529485013,51091.3997692921,27918.7976881378,60800.9371875,54813.9061277104,0.48787920165717313
331,TRILOGY DINING SPIRITS AND ENTERTAINMENT,MARIETTA,GA,30060,13067.0,COBB,520.0,LSR - QUICK CASUAL,AMERICAN AND AMERICAN TRADITIONAL,AMERICAN TRADITIONAL,INDEPENDENT (1-9 UNITS),OVER 50,5 YEARS PLUS,"$1,000,001 - $2,500,000",$7 TO $10,NOT APPLICABLE,865992.4182,752968.03630464,113024.38189536,104710.85468064,147664.07862336,125395.70215536,300177.71478864,0.496482760216033
332,CAPTAIN D'S SEAFOOD KITCHEN,LOCUST GROVE,GA,30248,13151.0,HENRY,520.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","STEAK, SEAFOOD & FISH",SEAFOOD & FISH,501+ UNITS,20 TO 49,5 YEARS PLUS,"$500,001 - $1,000,000",$7 TO $10,NOT APPLICABLE,329717.1825,276129.899768638,53587.2827313625,51703.7227056555,28253.4003856041,61529.6275064267,89845.8132262211,0.6789238452361046
333,MARICELAS MEXICAN GRILL,SANDERSVILLE,GA,31082,13303.0,WASHINGTON,"<bound method NDFrame.ffill of 0      6162.0
1      7362.0
2      7362.0
3      6640.0
4      7362.0
        ...  
995    1922.0
996    4472.0
997    5602.0
998    2710.0
999    2162.0
Name: MSA, Length: 1000, dtype: object>","FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",MEXICAN,MEXICAN,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"$500,001 - $1,000,000",$10 TO $15,NOT APPLICABLE,191695.331945798,179996.343644076,11698.9883017221,28749.8767339106,37131.5715663354,26693.1547829463,71144.8872715312,0.12379794451256743
334,HOLIDAY INN,COLUMBUS,GA,31909,13215.0,MUSCOGEE,1800.0,2* HOTELS WITHOUT RESTAURANT-MIDSCALE,SELECTION FOR LODGING AND BARS,NOT APPLICABLE,501+ UNITS,20 TO 49,5 YEARS PLUS,">$5,000,000",NOT APPLICABLE,101 - 250,156962.4156,132447.230161966,16133.3140131824,22586.8174473339,21895.5033769133,26986.6801138615,38453.247931896,0.4895782423013596
335,LEMARS CAFE,LE MARS,IA,51031,19149.0,PLYMOUTH,"<bound method NDFrame.ffill of 0      6162.0
1      7362.0
2      7362.0
3      6640.0
4      7362.0
        ...  
995    1922.0
996    4472.0
997    5602.0
998    2710.0
999    2162.0
Name: MSA, Length: 1000, dtype: object>","FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",CLASSIC & VARIED MENU,VARIED MENU,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,161055.128529327,146957.268974285,14097.8595550419,19762.8371511124,25962.9429240104,33547.0008783588,57332.5257035539,0.49879500522483977
336,KAMEHACHI OF TOKYO,NORTHBROOK,IL,60062,17031.0,COOK,1602.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",OTHER ASIAN,SUSHI,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,99692.9150096831,93608.7488767664,6084.16613291675,14951.6369996064,19310.6142479532,13882.019891173,36999.5509444105,0.460109104155106
337,EL SOMBRERITO,EAST PEORIA,IL,61611,17179.0,TAZEWELL,6120.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",MEXICAN,MEXICAN,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$10 TO $15,NOT APPLICABLE,180346.683257193,169340.292458502,11006.3907986912,27047.8412822279,34933.3273175851,25112.8803289608,66933.0041576363,0.10583528715208335
338,LAGUANAQUITA,INDIANAPOLIS,IN,46254,18097.0,MARION,3480.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",CLASSIC & VARIED MENU,VARIED MENU,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$15 TO $20,NOT APPLICABLE,133409.938769142,121731.983542329,11677.9552268131,16370.536711933,21506.391366657,27788.6421496677,47491.3702744871,0.42678335430875103
